номер	уровень	практическая тема	грамматика	активная лексика	чтение	речь	Конституция	повторение
36	B1	Что произошло раньше	-ել էի и порядок событий	մինչև, հետո, նախապես	пропущенная встреча	восстановить хронологию	թեստ, հարց	20–23,35
37	B1	Что я бы сделал	կգրեի, կուզեի, отрицание	ընտրություն, հնարավորություն	два предложения работы	сравнить гипотезы	նախագահի ընտրություն	15,24,26,27
38	B1	Пожелания и сожаления	երանի, եթե и прошедшая форма	երանի, հաջողություն, ցանկություն	письмо после встречи	пожелать и объяснить	ընտրությունների կրկնություն	20,27,37
39	B1	Чтобы и что	որ, որպեսզի, необходимость	հնարավոր, անհրաժեշտ, նպատակ	разговор о подаче	объяснить цель	օրենսդիր, գործադիր	27,29,37,38; затем повторение 6, Конституция 6
40	B1	Кто делает и что сделано	-ող и -ած	աշխատող, գրած, ներկայացված	объявление учреждения	описать нужного человека	ընտրված նախագահ	11,35,39
41	B1	Во время и с помощью	-իս, -ելով, -ելիք	կարդալիս, քայլելիս, ասելիք	как готовиться к тесту	объяснить свой способ	հարցը կարդալիս	20,35,40
42	B1	Документ принимается	-վ- в объявлениях	ընդունվել, ուղարկվել, գրանցվել	порядок приёма	пересказать инструкцию	դատական իշխանություն	22,35,40; затем Конституция 7
43	B1	Попросить сделать	готовые пары -ցն-	հիշեցնել, սովորեցնել, լրացնել	помощь с анкетой	поручить простое действие	ծանուցում	15,27,35,42
44	B1	Тот, который	որ, որը, որի, որին	տանտեր, պայմանագիր, բնակիչ	выбор арендодателя	уточнить, о ком речь	մարմին, պաշտոն	13,25,40,42; затем повторение 7
45	B1	Передать чужие слова	ասաց, որ; спросил ли	հայտնել, հարցնել, պատասխանել	пересказ разговора	различить факт и пересказ	պաշտոնական տեղեկություն	20,24,35,39
46	B1	Причина и последовательность	երբ, հենց, մինչև, քանի որ	պատճառ, հերթ, սպասում	отключение воды	объяснить опоздание	օրենքի հրապարակում	20,29,35,36,45; затем чтение B1-1, Конституция 8
47	B1	Цель и уступка	որպեսզի, թեև, չնայած	նպատակ, արդյունք, դժվարություն	учёба после работы	обосновать решение	իրավունքի սահմանափակում	27,29,39,46
48	B1	Если и если бы	реальное и нереальное условие	եթե, պայման, հետևանք	план на случай задержки	план Б	выборы и референдум	15,27,37,38,47
49	B1	Вежливо отказать	отрицание во временах	ցավոք, դեռ, համաձայն չեմ	перенос встречи	отказ и предложение	Սահմանադրության հարցերի կրկնություն	4,16,20,35,37; затем повторение 8
50	B1	Аренда и документы	пассив, просьба, условия	վարձակալություն, դիմում, ժամկետ	продление договора	обсудить условия	читать требования	13,27,42–49
51	B1	Объяснить проблему	просьба, если, последовательность	վերադարձ, սխալ, օգնություն	двойное списание	составить обращение	դիմում и բողոք	15,22,29,35,48
52	B1	Слова и культура	узнавать части слова	քաղաքացիություն, պատասխանատվություն	соседский праздник	объяснить незнакомое слово	քաղաքացի и քաղաքացիություն	28,29,40,41,47
53	B1	Связное письмо	регистр и структура письма	հարգելի, խնդրում եմ, կից	запрос разъяснения	обсудить письмо устно	письмо в учреждение	6,27,35,45,50
54	B1	Читать без подстрочника	стратегии понимания	աղբյուր, վերնագիր, փաստ	новость и объявление	краткий пересказ	проверять официальный источник	29,40,42,45,46; затем повторение 9
55	B1	Не понял, уточните	переспрос и перефразирование	այսինքն, նկատի ունենալ, ճշտել	недоразумение по телефону	пять минут разговора	уточнить условие теста	4,16,27,33,45
56	B1	Мнение с аргументами	связки и сравнение	իմ կարծիքով, սակայն, օրինակ	центр или окраина	два довода и вывод	факт и мнение о правиле	26,29,37,47,55
57	B1	Чувства и планы	причина чувства, надежда	հանգիստ, անհանգիստ, հույս	перед важным днём	рассказ о трудности	подготовка к экзамену	20,24,29,35,38,56
58	B1	Самостоятельное использование	смешение всех изученных форм	повторение активного ядра	документы и связная история	объяснение и мнение	полный пробный экзамен	A1, A2, B1; затем чтение, речь и контроль B1
