1	Привет, Арам! Привет, Анна!	Բարև, Արա՛մ։ Բարև, Աննա՛։	Спасибо, Анна. До свидания, Арам!	Շնորհակալություն, Աննա՛։ Ցտեսություն, Արա՛մ։
20	Раньше я жил в маленьком городе. Я работал в школе.	Առաջ փոքր քաղաքում էի ապրում։ Դպրոցում էի աշխատում։	Каждый вечер я читал дома. Мой брат тогда учился. Теперь мы живём в Ереване и работаем вместе.	Ամեն երեկո տանը կարդում էի։ Եղբայրս այն ժամանակ սովորում էր։ Հիմա ապրում ենք Երևանում և միասին աշխատում։
21	Сегодня понедельник. Наша встреча завтра в десять часов.	Այսօր երկուշաբթի է։ Մեր հանդիպումը վաղը ժամը տասին է։	Я приду в девять тридцать. Утром у меня будет время. Позвони мне сегодня, пожалуйста.	Ես կգամ ժամը ինն անց կես։ Առավոտյան ժամանակ կունենամ։ Այսօր զանգիր ինձ, խնդրում եմ։
22	Вчера я написал письмо. Потом отправил его Анне.	Երեկ նամակ գրեցի։ Հետո այն ուղարկեցի Աննային։	Она открыла письмо и прочитала его. Вечером мы поговорили. Сегодня я работаю дома и жду новое письмо.	Նա բացեց նամակը և կարդաց այն։ Երեկոյան խոսեցինք։ Այսօր տանն եմ աշխատում և նոր նամակի եմ սպասում։
23	Вчера я пошёл в банк. По дороге увидел друга.	Երեկ գնացի բանկ։ Ճանապարհին տեսա ընկերոջս։	Он дал мне мой документ. Потом мы пришли домой и выпили чай. Вечером я снова пошёл в город.	Նա ինձ տվեց իմ փաստաթուղթը։ Հետո եկանք տուն և թեյ խմեցինք։ Երեկոյան նորից գնացի քաղաք։
24	Завтра я собираюсь встретиться с другом. Мы собираемся поговорить о работе.	Վաղը հանդիպելու եմ ընկերոջս։ Խոսելու ենք աշխատանքի մասին։	Утром я собираюсь оплатить счёт. Потом поеду в центр. Я позвоню тебе вечером и расскажу о встрече.	Առավոտյան վճարելու եմ հաշիվը։ Հետո կգնամ կենտրոն։ Երեկոյան կզանգեմ քեզ և կպատմեմ հանդիպման մասին։
25	Я жду около банка. Перед банком есть остановка.	Ես սպասում եմ բանկի մոտ։ Բանկի դիմաց կանգառ կա։	За остановкой находится маленький магазин. Я стою рядом с другом. После встречи мы вместе пойдём домой.	Կանգառի հետևում փոքր խանութ կա։ Ես կանգնած եմ ընկերոջս կողքին։ Հանդիպումից հետո միասին տուն կգնանք։
26	Первая квартира дешевле второй. Но вторая квартира больше.	Առաջին բնակարանն ավելի էժան է, քան երկրորդը։ Բայց երկրորդ բնակարանն ավելի մեծ է։	Для меня первая квартира удобнее. Она около работы. Это самый дешёвый вариант. Завтра я посмотрю её с другом.	Ինձ համար առաջին բնակարանն ավելի հարմար է։ Այն աշխատանքի մոտ է։ Սա ամենաէժան տարբերակն է։ Վաղը այն կնայեմ ընկերոջս հետ։
27	Мне нужно заполнить заявление. Я могу написать имя и адрес.	Ես պետք է լրացնեմ դիմումը։ Կարող եմ գրել անունը և հասցեն։	Но я хочу проверить одно слово. Вы можете мне помочь? Потом я должен подписать заявление и отдать его сотруднику.	Բայց ուզում եմ ստուգել մի բառ։ Կարո՞ղ եք ինձ օգնել։ Հետո պետք է ստորագրեմ դիմումը և այն տամ աշխատակցին։
28	Кто-то ждёт у двери. Я никого не знаю здесь.	Ինչ-որ մեկը սպասում է դռան մոտ։ Ես այստեղ ոչ ոքի չեմ ճանաչում։	Все хотят задать вопрос. Но никто сейчас не говорит. Я ничего не понимаю и прошу сотрудника помочь мне.	Բոլորն ուզում են հարց տալ։ Բայց հիմա ոչ ոք չի խոսում։ Ես ոչինչ չեմ հասկանում և աշխատակցին խնդրում եմ օգնել ինձ։
29	Сегодня я останусь дома, потому что много работаю. Но вечером у меня будет время.	Այսօր տանը կմնամ, որովհետև շատ եմ աշխատում։ Բայց երեկոյան ժամանակ կունենամ։	Если ты придёшь, мы вместе приготовим ужин. Потом я покажу тебе новую книгу. Я уже читаю её, но ещё не всё понимаю.	Եթե գաս, միասին ընթրիք կպատրաստենք։ Հետո քեզ ցույց կտամ նոր գիրքը։ Ես արդեն կարդում եմ այն, բայց դեռ ամեն ինչ չեմ հասկանում։
30	Сегодня я плохо себя чувствую. У меня болит голова и есть температура.	Այսօր ինձ վատ եմ զգում։ Գլուխս ցավում է և ջերմություն ունեմ։	Я хочу записаться к врачу на завтра. Можно прийти утром? Если утром нет места, я могу прийти после обеда. Скажите, пожалуйста, адрес.	Ուզում եմ վաղվա համար բժշկի մոտ գրանցվել։ Կարելի՞ է առավոտյան գալ։ Եթե առավոտյան տեղ չկա, կարող եմ կեսօրից հետո գալ։ Ասեք հասցեն, խնդրում եմ։
31	Мы заказали чай без сахара. Но в этом чае есть сахар.	Մենք առանց շաքարի թեյ պատվիրեցինք։ Բայց այս թեյի մեջ շաքար կա։	Можно принести другой чай? Мой друг также хочет хлеб. Потом принесите счёт, пожалуйста. Мы хотим заплатить картой, но у нас есть и наличные.	Կարելի՞ է ուրիշ թեյ բերել։ Ընկերս նաև հաց է ուզում։ Հետո բերեք հաշիվը, խնդրում եմ։ Ուզում ենք քարտով վճարել, բայց նաև կանխիկ ունենք։
32	Идите прямо до банка. Потом поверните направо.	Գնացեք ուղիղ մինչև բանկը։ Հետո թեքվեք աջ։	Не переходите улицу здесь. Остановка находится рядом с аптекой. Сядьте на автобус номер пять. Если не найдёте остановку, позвоните мне.	Այստեղ փողոցը մի անցեք։ Կանգառը դեղատան կողքին է։ Նստեք հինգ համարի ավտոբուսը։ Եթե կանգառը չգտնեք, զանգեք ինձ։
33	Здравствуйте, я плохо вас слышу. Говорите, пожалуйста, медленнее.	Բարև ձեզ, ձեզ վատ եմ լսում։ Խոսեք ավելի դանդաղ, խնդրում եմ։	Повторите адрес и номер дома. Вы будете здесь в три часа? Я буду ждать около входа. Если не найдёте дом, позвоните ещё раз.	Կրկնեք հասցեն և տան համարը։ Ժամը երեքին այստեղ կլինե՞ք։ Ես կսպասեմ մուտքի մոտ։ Եթե տունը չգտնեք, նորից զանգեք։
34	Вчера я работал в офисе. Погода была плохая, и я вернулся домой на такси.	Երեկ գրասենյակում էի աշխատում։ Եղանակը վատ էր, և տաքսիով տուն վերադարձա։	Сегодня я работаю дома, потому что жду важный звонок. Завтра собираюсь встретиться с коллегой. Если погода будет хорошая, мы пойдём пешком. После встречи я напишу короткое письмо.	Այսօր տանն եմ աշխատում, որովհետև կարևոր զանգի եմ սպասում։ Վաղը հանդիպելու եմ գործընկերոջս։ Եթե եղանակը լավ լինի, ոտքով կգնանք։ Հանդիպումից հետո կարճ նամակ կգրեմ։
35	Я уже заполнил заявление и отправил документы. Но ответа ещё не получил. Сегодня я снова проверил почту.	Ես արդեն լրացրել եմ դիմումը և ուղարկել փաստաթղթերը։ Բայց դեռ պատասխան չեմ ստացել։ Այսօր նորից ստուգեցի փոստը։	Нужно немного подождать. Я сохранил копию заявления. Если завтра ответа не будет, я позвоню в офис. Хочу узнать, всё ли правильно.	Պետք է մի քիչ սպասել։ Ես պահել եմ դիմումի պատճենը։ Եթե վաղը պատասխան չլինի, կզանգեմ գրասենյակ։ Ուզում եմ իմանալ՝ արդյոք ամեն ինչ ճիշտ է։
36	Когда я пришёл, встреча уже началась. Я заранее записал адрес, но перепутал время. Друг уже позвонил мне два раза.	Երբ եկա, հանդիպումն արդեն սկսվել էր։ Նախապես գրել էի հասցեն, բայց ժամը շփոթել էի։ Ընկերս արդեն երկու անգամ զանգել էր ինձ։	Я извинился и сел рядом с ним. После встречи мы поговорили о работе. Он объяснил, что обсуждали до моего прихода. В следующий раз я проверю время вечером.	Ներողություն խնդրեցի և նստեցի նրա կողքին։ Հանդիպումից հետո խոսեցինք աշխատանքի մասին։ Նա բացատրեց, թե ինչ էին քննարկում մինչև իմ գալը։ Հաջորդ անգամ ժամը կստուգեմ երեկոյան։
37	Я хотел бы работать ближе к дому. Я выбрал бы маленький офис. Там было бы спокойнее.	Ես կուզեի տնից ավելի մոտ աշխատել։ Փոքր գրասենյակ կընտրեի։ Այնտեղ ավելի հանգիստ կլիներ։	Мой друг предпочёл бы работу в центре. Для него важнее встречаться с людьми. Я бы сначала поговорил с сотрудниками. Потом сравнил бы условия и принял решение.	Ընկերս կնախընտրեր աշխատանքը կենտրոնում։ Նրա համար ավելի կարևոր է մարդկանց հետ հանդիպելը։ Ես նախ կխոսեի աշխատակիցների հետ։ Հետո կհամեմատեի պայմանները և որոշում կընդունեի։
38	Как бы я хотел лучше говорить по-армянски! Вчера я хотел задать вопрос, но не нашёл нужного слова. Мне было немного грустно.	Երանի ավելի լավ խոսեի հայերեն։ Երեկ ուզում էի հարց տալ, բայց անհրաժեշտ բառը չգտա։ Մի քիչ տխուր էի։	Друг помог мне и пожелал успеха. Теперь я записываю новые слова в тетрадь. Хотелось бы, чтобы у меня было больше времени для занятий. Завтра я снова попробую рассказать о своём дне.	Ընկերս օգնեց ինձ և հաջողություն մաղթեց։ Հիմա նոր բառերը գրում եմ տետրում։ Երանի ավելի շատ ժամանակ ունենայի պարապելու համար։ Վաղը նորից կփորձեմ պատմել իմ օրվա մասին։
39	Мне нужно, чтобы вы проверили заявление. Я хочу, чтобы все данные были правильными. Особенно важно проверить адрес.	Ինձ պետք է, որ ստուգեք դիմումը։ Ուզում եմ, որ բոլոր տվյալները ճիշտ լինեն։ Հատկապես կարևոր է հասցեն ստուգել։	Я принёс документ, чтобы вы могли сравнить имена. Если чего-то не хватает, скажите мне. Я могу вернуться завтра утром. Моя цель в том, чтобы закончить эту работу на этой неделе.	Փաստաթուղթը բերել եմ, որպեսզի կարողանաք անունները համեմատել։ Եթե ինչ-որ բան պակասում է, ասեք ինձ։ Կարող եմ վաղը առավոտյան վերադառնալ։ Իմ նպատակն այն է, որ այս շաբաթ ավարտեմ այս աշխատանքը։
40	Работающий здесь человек помог мне. Он прочитал написанное мной письмо. Потом показал лежащий на столе документ.	Այստեղ աշխատող մարդն օգնեց ինձ։ Նա կարդաց իմ գրած նամակը։ Հետո ցույց տվեց սեղանին դրված փաստաթուղթը։	В документе был указан новый адрес. Я переписал его в тетрадь и проверил номер дома. Ожидающие люди тоже задавали вопросы. Сотрудник отвечал медленно, поэтому я почти всё понял.	Փաստաթղթում նշված էր նոր հասցեն։ Այն արտագրեցի տետրում և ստուգեցի տան համարը։ Սպասող մարդիկ նույնպես հարցեր էին տալիս։ Աշխատակիցը դանդաղ էր պատասխանում, դրա համար գրեթե ամեն ինչ հասկացա։
41	Читая текст, я отмечаю незнакомые слова. Потом пытаюсь понять их по смыслу. Я не открываю словарь сразу.	Տեքստը կարդալիս նշում եմ անծանոթ բառերը։ Հետո փորձում եմ դրանք հասկանալ իմաստից։ Բառարանը միանգամից չեմ բացում։	Повторяя короткие фразы, я лучше запоминаю слова. Завтра мне нужно прочитать ещё один текст. Я уже приготовил тетрадь и записал вопросы. После чтения попробую пересказать содержание своими словами.	Կարճ արտահայտությունները կրկնելով՝ բառերն ավելի լավ եմ հիշում։ Վաղը պետք է ևս մեկ տեքստ կարդամ։ Արդեն պատրաստել եմ տետրը և գրել հարցերը։ Կարդալուց հետո կփորձեմ բովանդակությունը պատմել իմ բառերով։
42	Документы принимаются утром. Каждое заявление регистрируется. Потом ответ отправляется по электронной почте.	Փաստաթղթերն ընդունվում են առավոտյան։ Յուրաքանչյուր դիմում գրանցվում է։ Հետո պատասխանն ուղարկվում է էլեկտրոնային փոստով։	Моё заявление было принято вчера. Но в адресе была обнаружена ошибка. Я отправил правильный адрес и попросил подтверждение. Теперь хочу узнать, была ли исправлена ошибка и когда будет отправлен ответ.	Իմ դիմումը երեկ ընդունվեց։ Բայց հասցեում սխալ հայտնաբերվեց։ Ուղարկեցի ճիշտ հասցեն և հաստատում խնդրեցի։ Հիմա ուզում եմ իմանալ՝ արդյոք սխալն ուղղվել է, և երբ կուղարկվի պատասխանը։
43	Вчера я помог маме заполнить анкету. Сначала напомнил ей о встрече. Потом показал, где нужно написать адрес.	Երեկ մայրիկին օգնեցի հարցաթերթիկը լրացնել։ Սկզբում նրան հիշեցրի հանդիպման մասին։ Հետո ցույց տվեցի, թե որտեղ պետք է հասցեն գրել։	Она попросила меня научить её отправлять документы. Мы вместе открыли почту и написали короткое письмо. Я объяснил каждый шаг простыми словами. В следующий раз она хочет попробовать всё сделать сама.	Նա ինձ խնդրեց սովորեցնել իրեն փաստաթղթեր ուղարկել։ Միասին բացեցինք փոստը և կարճ նամակ գրեցինք։ Ամեն քայլը պարզ բառերով բացատրեցի։ Հաջորդ անգամ նա ուզում է փորձել ամեն ինչ ինքնուրույն անել։
44	Я встретил хозяина, который сдаёт эту квартиру. Это человек, которому я звонил вчера. Мы поговорили о договоре.	Հանդիպեցի տանտիրոջը, որը վարձով է տալիս այս բնակարանը։ Սա այն մարդն է, որին երեկ զանգել էի։ Խոսեցինք պայմանագրի մասին։	Квартира, окна которой выходят во двор, мне понравилась. Но я хотел уточнить условия оплаты. Хозяин показал документ, который нужно подписать. Я попросил время, чтобы спокойно прочитать его дома и записать вопросы.	Ինձ դուր եկավ բնակարանը, որի պատուհանները դեպի բակ են նայում։ Բայց ուզում էի ճշտել վճարման պայմանները։ Տանտերը ցույց տվեց փաստաթուղթը, որը պետք է ստորագրել։ Ժամանակ խնդրեցի, որպեսզի տանը հանգիստ կարդամ այն և հարցերը գրեմ։
45	Анна сказала, что сегодня работает дома. Она спросила, получил ли я письмо. Я ответил, что ещё не проверил почту.	Աննան ասաց, որ այսօր տանն է աշխատում։ Նա հարցրեց՝ արդյոք ստացել եմ նամակը։ Պատասխանեցի, որ դեռ փոստը չեմ ստուգել։	Потом она объяснила, что время встречи изменилось. Я попросил её прислать новый адрес. Вечером я передал эту информацию другу. Он сказал, что сможет прийти, если встреча начнётся после работы.	Հետո նա բացատրեց, որ հանդիպման ժամը փոխվել է։ Խնդրեցի նրան ուղարկել նոր հասցեն։ Երեկոյան այս տեղեկությունը փոխանցեցի ընկերոջս։ Նա ասաց, որ կկարողանա գալ, եթե հանդիպումն աշխատանքից հետո սկսվի։
46	Когда я вышел из дома, автобус уже уехал. Поскольку следующего автобуса долго не было, я пошёл пешком. По дороге позвонил коллеге.	Երբ տնից դուրս եկա, ավտոբուսն արդեն գնացել էր։ Քանի որ հաջորդ ավտոբուսը երկար ժամանակ չէր գալիս, ոտքով գնացի։ Ճանապարհին զանգեցի գործընկերոջս։	Как только я пришёл, мы начали работу. До обеда нужно было закончить письмо. Коллега уже подготовил документы, поэтому мы быстро справились. Вечером я проверил расписание, чтобы завтра снова не опоздать.	Հենց եկա, սկսեցինք աշխատանքը։ Մինչև կեսօր պետք էր նամակն ավարտել։ Գործընկերս արդեն պատրաստել էր փաստաթղթերը, դրա համար արագ ավարտեցինք։ Երեկոյան ստուգեցի չվացուցակը, որպեսզի վաղը նորից չուշանամ։
47	Хотя после работы я устаю, я продолжаю учить армянский. Я занимаюсь понемногу, чтобы лучше понимать людей. Иногда трудно найти время.	Թեև աշխատանքից հետո հոգնում եմ, շարունակում եմ հայերեն սովորել։ Քիչ-քիչ պարապում եմ, որպեսզի մարդկանց ավելի լավ հասկանամ։ Երբեմն դժվար է ժամանակ գտնել։	Несмотря на трудности, я уже вижу результат. Вчера смог сам объяснить проблему в магазине. Я говорил медленно, чтобы продавец понял меня. Дома записал этот разговор, чтобы повторить полезные выражения и использовать их снова.	Չնայած դժվարություններին՝ արդեն արդյունք եմ տեսնում։ Երեկ կարողացա խանութում ինքնուրույն բացատրել խնդիրը։ Դանդաղ էի խոսում, որպեսզի վաճառողն ինձ հասկանար։ Տանը գրի առա այս խոսակցությունը, որպեսզի կրկնեմ օգտակար արտահայտությունները և դրանք նորից օգտագործեմ։
48	Если завтра получу ответ, сразу отправлю документы. Если ответа не будет, позвоню сотруднику. Я не хочу пропустить срок.	Եթե վաղը պատասխան ստանամ, անմիջապես կուղարկեմ փաստաթղթերը։ Եթե պատասխան չլինի, կզանգեմ աշխատակցին։ Չեմ ուզում ժամկետը բաց թողնել։	Если бы у меня было больше времени, я сам пошёл бы в офис. Но завтра я работаю до вечера. Поэтому я заранее подготовил письмо с вопросами. Если сотрудник не сможет помочь, попрошу его объяснить, к кому можно обратиться.	Եթե ավելի շատ ժամանակ ունենայի, ինքս կգնայի գրասենյակ։ Բայց վաղը մինչև երեկո աշխատում եմ։ Դրա համար նախապես հարցերով նամակ եմ պատրաստել։ Եթե աշխատակիցը չկարողանա օգնել, կխնդրեմ նրան բացատրել, թե ում կարելի է դիմել։
49	К сожалению, завтра я не смогу прийти на встречу. Я ещё не закончил работу. Не хотел бы заставлять вас ждать.	Ցավոք, վաղը չեմ կարողանա հանդիպման գալ։ Դեռ չեմ ավարտել աշխատանքը։ Չէի ցանկանա ձեզ սպասեցնել։	Можно перенести встречу на пятницу? Утром я буду свободен и смогу приехать к вам. Если этот день вам неудобен, предложите другое время. Я проверю свой календарь и отвечу сегодня вечером, чтобы мы заранее договорились.	Կարելի՞ է հանդիպումը տեղափոխել ուրբաթ։ Առավոտյան ազատ կլինեմ և կկարողանամ գալ ձեզ մոտ։ Եթե այդ օրը ձեզ հարմար չէ, ուրիշ ժամ առաջարկեք։ Կստուգեմ օրացույցս և այսօր երեկոյան կպատասխանեմ, որպեսզի նախապես պայմանավորվենք։
50	Я хотел бы продлить договор аренды на год. Квартира мне подходит, потому что находится рядом с работой. Я всегда платил вовремя.	Կցանկանայի վարձակալության պայմանագիրը մեկ տարով երկարացնել։ Բնակարանն ինձ հարմար է, որովհետև աշխատանքի մոտ է գտնվում։ Միշտ ժամանակին եմ վճարել։	Прежде чем подписать новый договор, хочу уточнить цену. Будут ли изменены другие условия? Пожалуйста, отправьте мне документ, чтобы я мог спокойно прочитать его. Если всё останется как раньше, мы можем встретиться на следующей неделе и подписать договор.	Նոր պայմանագիրը ստորագրելուց առաջ ուզում եմ գինը ճշտել։ Մյուս պայմանները փոխվելո՞ւ են։ Խնդրում եմ, ուղարկեք ինձ փաստաթուղթը, որպեսզի կարողանամ հանգիստ կարդալ այն։ Եթե ամեն ինչ մնա ինչպես առաջ, կարող ենք հաջորդ շաբաթ հանդիպել և պայմանագիրը ստորագրել։
51	Вчера я оплатил заказ картой. Деньги были списаны два раза, но заказ был один. Я уже проверил сообщения банка.	Երեկ պատվերի համար քարտով վճարեցի։ Գումարը երկու անգամ գանձվեց, բայց պատվերը մեկն էր։ Արդեն ստուգել եմ բանկի հաղորդագրությունները։	Прошу проверить оплату и вернуть лишнюю сумму. Я могу отправить чек и номер заказа. Сообщите, пожалуйста, какие ещё данные нужны и сколько времени займёт проверка. Если нужно обратиться в банк, объясните, какой документ я должен там показать.	Խնդրում եմ ստուգել վճարումը և վերադարձնել ավելորդ գումարը։ Կարող եմ ուղարկել կտրոնը և պատվերի համարը։ Խնդրում եմ, տեղեկացրեք՝ ուրիշ ինչ տվյալներ են պետք, և որքան ժամանակ կպահանջվի ստուգման համար։ Եթե պետք է բանկ դիմել, բացատրեք, թե այնտեղ ինչ փաստաթուղթ պետք է ցույց տամ։
52	Вчера соседи пригласили меня на небольшой праздник во дворе. Я принёс хлеб и фрукты. Сначала я мало говорил, потому что не всех знал.	Երեկ հարևաններն ինձ հրավիրեցին բակում փոքր տոնի։ Հաց և միրգ բերեցի։ Սկզբում քիչ էի խոսում, որովհետև բոլորին չէի ճանաչում։	Потом соседка рассказала о семейной традиции и объяснила незнакомое слово. Я заметил, что часть этого слова мне уже знакома. Мы сравнили наши привычки и нашли много общего. Дома я записал новые выражения, чтобы в следующий раз увереннее участвовать в разговоре.	Հետո հարևանուհին պատմեց ընտանեկան ավանդույթի մասին և բացատրեց անծանոթ բառը։ Նկատեցի, որ այդ բառի մի մասն ինձ արդեն ծանոթ է։ Համեմատեցինք մեր սովորությունները և շատ ընդհանուր բան գտանք։ Տանը գրեցի նոր արտահայտությունները, որպեսզի հաջորդ անգամ ավելի վստահ մասնակցեմ խոսակցությանը։
53	Уважаемые сотрудники! Я пишу, чтобы уточнить порядок подачи заявления. На сайте я нашёл список документов, но у меня осталось два вопроса.	Հարգելի աշխատակիցներ։ Գրում եմ, որպեսզի ճշտեմ դիմում ներկայացնելու կարգը։ Կայքում գտել եմ փաստաթղթերի ցանկը, բայց երկու հարց ունեմ։	Можно ли отправить копии по электронной почте? Нужно ли заранее записываться на приём? Я приложил заполненное заявление, чтобы вы могли проверить данные. Буду благодарен, если вы объясните следующий шаг и сообщите, когда я могу прийти. Спасибо за помощь.	Կարելի՞ է պատճեններն էլեկտրոնային փոստով ուղարկել։ Պե՞տք է նախապես գրանցվել ընդունելության համար։ Կից ուղարկել եմ լրացված դիմումը, որպեսզի կարողանաք տվյալները ստուգել։ Շնորհակալ կլինեմ, եթե բացատրեք հաջորդ քայլը և տեղեկացնեք, թե երբ կարող եմ գալ։ Շնորհակալություն օգնության համար։
54	Сегодня я прочитал объявление об изменении времени работы. Сначала посмотрел заголовок и дату. Потом нашёл информацию о том, когда открывается офис.	Այսօր կարդացի աշխատանքային ժամերի փոփոխության մասին հայտարարությունը։ Սկզբում նայեցի վերնագիրը և ամսաթիվը։ Հետո գտա տեղեկությունն այն մասին, թե երբ է գրասենյակը բացվում։	Одно слово было незнакомым, но общий смысл я понял. Я проверил сообщение на официальном сайте, потому что объявление могло быть старым. После этого написал другу короткое объяснение. Я указал новое время и добавил ссылку, чтобы он тоже мог проверить информацию перед поездкой.	Մի բառ անծանոթ էր, բայց ընդհանուր իմաստը հասկացա։ Հաղորդագրությունը ստուգեցի պաշտոնական կայքում, որովհետև հայտարարությունը կարող էր հին լինել։ Դրանից հետո ընկերոջս կարճ բացատրություն գրեցի։ Նշեցի նոր ժամը և հղումն ավելացրի, որպեսզի նա էլ կարողանա գնալուց առաջ տեղեկությունը ստուգել։
55	Во время телефонного разговора я не понял последнее условие. Я попросил сотрудника повторить его медленнее. Потом объяснил своими словами, что понял.	Հեռախոսային խոսակցության ժամանակ վերջին պայմանը չհասկացա։ Աշխատակցին խնդրեցի այն ավելի դանդաղ կրկնել։ Հետո իմ բառերով բացատրեցի, թե ինչ հասկացա։	Оказалось, что нужно принести оригинал документа, а не только копию. Я уточнил адрес и спросил, можно ли прийти после обеда. Сотрудник предложил другое время, и мы договорились. В конце я ещё раз повторил дату, время и список документов, чтобы ничего не перепутать.	Պարզվեց, որ պետք է բերել փաստաթղթի բնօրինակը, ոչ միայն պատճենը։ Ճշտեցի հասցեն և հարցրի՝ արդյոք կարելի է կեսօրից հետո գալ։ Աշխատակիցն ուրիշ ժամ առաջարկեց, և պայմանավորվեցինք։ Վերջում ևս մեկ անգամ կրկնեցի ամսաթիվը, ժամը և փաստաթղթերի ցանկը, որպեսզի ոչինչ չշփոթեմ։
